composers	title	key	tempo	style	checked	in_progress	Notes	turnaround	marked_	chords
Jobim, Antonio Carlos	If You Never Come To Me	C	140	Jazz-Bossa Nova	TRUE	TRUE	Bb^7#11 A7b9 Dm11 Db7#11	1	|C^7|B^7|Bb^7|A7|Dm7|Dm7|Fm7|Bb7|E7|A7|D7|G7|C7|F7|C^7|Db7|	C^7, B^7, Bb^7, A7, Dm7, Dm7, Fm7, Bb7, E7, A7, D7, G7, C7, F7, C^7, Db7
Wayne, Mabel	In A Little Spanish Town	G	100	Jazz-Medium Swing	TRUE	TRUE		NT	|G^7|G^7|Am7|D7|D7|D7|G6|Am7 D7|G^7|Bbo7|Am7|D7|Am7|D7|G^7|Am7 D7|G^7|G^7|Am7|D7|B7|B7|E7|E7|E7|E7|A7|Bbo7|G^7|D7|G6|Am7 D7|	G^7, G^7, Am7, D7, D7, D7, G6, Am7, D7, G^7, Bbo7, Am7, D7, Am7, D7, G^7, Am7, D7, G^7, G^7, Am7, D7, B7, B7, E7, E7, E7, E7, A7, Bbo7, G^7, D7, G6, Am7, D7
Ellington, Duke	In A Mellow Tone (In A Mellotone)	A-	100	Jazz-Medium Swing	TRUE	TRUE		3	|Bb7|Eb7|Ab6|Ab6|Ebm7|Ab7|Db^7|Db^7|Db6|Gb7|Ab6|F7|Bb7|Bb7|Eb7|F7|Bb7|Eb7|Ab6|Ab6|Ebm7|Ab7|Db^7|Db^7|Db7|Do7|Ab6|F7|Bb7|Eb7|Ab6|F7|	Bb7, Eb7, Ab6, Ab6, Ebm7, Ab7, Db^7, Db^7, Db6, Gb7, Ab6, F7, Bb7, Bb7, Eb7, F7, Bb7, Eb7, Ab6, Ab6, Ebm7, Ab7, Db^7, Db^7, Db7, Do7, Ab6, F7, Bb7, Eb7, Ab6, F7
Little, Jack & Siras, John	In A Shanty In Old Shanty Town	F	100	Jazz-Medium Swing	TRUE	TRUE		2	|F^7|A7|D7|D7|G7|Ab7|G7|G7|C7|C7|F6|F6 D7|G7|G7|Gm7|C7|F^7|A7|D7|D7|G7|Ab7|G7|G7|Bb6|Bbm6|F^7 A7|D7|Gm7|C7|F6|C7|	F^7, A7, D7, D7, G7, Ab7, G7, G7, C7, C7, F6, F6, D7, G7, G7, Gm7, C7, F^7, A7, D7, D7, G7, Ab7, G7, G7, Bb6, Bbm6, F^7, A7, D7, Gm7, C7, F6, C7
Evans, Bill	Interplay	f	130	Jazz-Medium Swing	TRUE	TRUE		0	|Fm6|Fm6|Fm6|Fm6 F7|Bbm7|Bbm7|Fm6|Fm6|Db7|C7|Fm6|G%7 C7|	Fm6, Fm6, Fm6, Fm6, F7, Bbm7, Bbm7, Fm6, Fm6, Db7, C7, Fm6, G%7, C7
Carisi, John	Israel	d	100	Jazz-Medium Swing	TRUE	TRUE		1	|Dm|Dm7|Dm6|D7|Gm7|C7|F^7|Bb^7|E%7|A7|Dm F7|Bb7 A7|	Dm, Dm7, Dm6, D7, Gm7, C7, F^7, Bb^7, E%7, A7, Dm, F7, Bb7, A7
Styne, Jule	It's Been A Long Long Time	F	100	Jazz-Medium Swing	TRUE	TRUE		2	|F^ F^7|F6|F6 F#o7|C7|Gm7 D7|Gm7 C7|Gm7 C7|F^7|F^7 A%7|D7|Gm7 Bbm6|Db7 C7|F^ F^7|Am7 D7|Gm7 Gb7|F6 Gm7&C7|	F^, F^7, F6, F6, F#o7, C7, Gm7, D7, Gm7, C7, Gm7, C7, F^7, F^7, A%7, D7, Gm7, Bbm6, Db7, C7, F^, F^7, Am7, D7, Gm7, Gb7, F6, Gm7, C7
Monk, Thelonious	Jackie-ing	B-	100	Jazz-Medium Swing	TRUE	TRUE		0	|Bb^7|Bb^7|Bb^7|Bb^7|Bb^7|Bb^7|Cm7 Fsus|Fsus|Bb^7|Bb^7|G7|Cm7 F7|Bb^7|Bb^7|Bb^7|Bb^7|	Bb^7, Bb^7, Bb^7, Bb^7, Bb^7, Bb^7, Cm7, Fsus, Fsus, Bb^7, Bb^7, G7, Cm7, F7, Bb^7, Bb^7, Bb^7, Bb^7
Ivery, Marchel	Jeannie's Song	F	100	Jazz-Medium Swing	TRUE	TRUE		0	|Gm7|C7|Gm7|C7|F^7|Bb7|Am7|Abo7|Gm7|C7|F^7|Em7 A7|D^7|A7|Dm7|G7|Gm7|C7|Gm7|C7|F^7|Bb7|Am7|Abo7|Gm7|C7|Am7|D7|Gm7|C7|F^7|F^7|	Gm7, C7, Gm7, C7, F^7, Bb7, Am7, Abo7, Gm7, C7, F^7, Em7, A7, D^7, A7, Dm7, G7, Gm7, C7, Gm7, C7, F^7, Bb7, Am7, Abo7, Gm7, C7, Am7, D7, Gm7, C7, F^7, F^7
Johnson, Eddie & Bradshaw, Tiny & Plater, Bobby	Jersey Bounce	F	160	Jazz-Medium Up Swing	TRUE	TRUE		0	|F6|F6|G7|G7|Gm7|C7|F6 Abo7|Gm7 C7|F6|F6|G7|G7|Gm7|C7|F6 Db7|F6|F7|F7|Eb7|Eb7|Db7|Db7|C7|C7|F6|F6|G7|G7|Gm7|C7|F6 Db7|F6|	F6, F6, G7, G7, Gm7, C7, F6, Abo7, Gm7, C7, F6, F6, G7, G7, Gm7, C7, F6, Db7, F6, F7, F7, Eb7, Eb7, Db7, Db7, C7, C7, F6, F6, G7, G7, Gm7, C7, F6, Db7, F6
Silver, Horace	Jody Grind, The	b-	60	Jazz-Ballad Even	TRUE	TRUE	A13, B13	NT	|Bbm7|Bbm7|Bbm7|Bbm7|Eb7|Eb7|Bbm7|Bbm7|A7|B7|Bbm7|Bbm7|	Bbm7, Bbm7, Bbm7, Bbm7, Eb7, Eb7, Bbm7, Bbm7, A7, B7, Bbm7, Bbm7
Casucci, Leonello	Just A Gigolo	F	100	Jazz-Medium Swing	TRUE	TRUE		1	|F^|F^7|F^ Abo7|Gm7 D7|Gm|Gm7|C7|F^|F7|Eb7|D7|Gm7|Bbm7 Eb7|Am7 D7|Gm7 C7|F^ C7|	F^, F^7, F^, Abo7, Gm7, D7, Gm, Gm7, C7, F^, F7, Eb7, D7, Gm7, Bbm7, Eb7, Am7, D7, Gm7, C7, F^, C7
Klenner, John	Just Friends	G	100	Jazz-Medium Swing	TRUE	TRUE		2	|C^7|C^7|Cm7|F7|G^7|G^7|Bbm7|Eb7|Am7|D7|Bm7|Em7|A7|A7|Am7|D7 G7|C^7|C^7|Cm7|F7|G^7|G^7|Bbm7|Eb7|Am7|D7|F#%7 B7|Em7|A7|Am7 D7|G6|Dm7 G7|	C^7, C^7, Cm7, F7, G^7, G^7, Bbm7, Eb7, Am7, D7, Bm7, Em7, A7, A7, Am7, D7, G7, C^7, C^7, Cm7, F7, G^7, G^7, Bbm7, Eb7, Am7, D7, F#%7, B7, Em7, A7, Am7, D7, G6, Dm7, G7
Styne, Jule	Just In Time	B-	240	Jazz-Up Tempo Swing	TRUE	TRUE		2	|Bb^7|Bb^7|A%7|D7|G7|G7|C7|C7|F7|F7|Bb7|Bb7|Eb^7|Eb^7|Ab^7|A%7 D7|Gm7|Gm|Gm|C7 C#o7|Bb6|Bb6|Ab7|G7|C7|F7|Dm7|Gm7|C7|Cm7 F7|Bb6|Cm7 F7|	Bb^7, Bb^7, A%7, D7, G7, G7, C7, C7, F7, F7, Bb7, Bb7, Eb^7, Eb^7, Ab^7, A%7, D7, Gm7, Gm, Gm, C7, C#o7, Bb6, Bb6, Ab7, G7, C7, F7, Dm7, Gm7, C7, Cm7, F7, Bb6, Cm7, F7
Dameron, Tadd	Lady Bird	C	240	Jazz-Up Tempo Swing	TRUE	TRUE		3	|C^7|C^7|Fm7|Bb7|C^7|C^7|Bbm7|Eb7|Ab^7|Ab^7|Am7|D7|Dm7|G7|C^7 Eb^7|Ab^7 Db^7|	C^7, C^7, Fm7, Bb7, C^7, C^7, Bbm7, Eb7, Ab^7, Ab^7, Am7, D7, Dm7, G7, C^7, Eb^7, Ab^7, Db^7
Beirach, Richie	Leaving	B-	140	Jazz-Even 8ths	TRUE	TRUE		1	|Eb^7|D7|Gm7|Gm7|Gb^7 F7|D7|Gm7|Gm7|Cm7|Absus|Bb^ F^|Ab7 G7|Cm^7 Gb^7|B^7|Bb^|D7|	Eb^7, D7, Gm7, Gm7, Gb^7, F7, D7, Gm7, Gm7, Cm7, Absus, Bb^, F^, Ab7, G7, Cm^7, Gb^7, B^7, Bb^, D7
Tristano, Lennie	Lennie's Pennies	c	240	Jazz-Up Tempo Swing	TRUE	TRUE		0	|Cm6|Cm6|D7|Db7|Cm6|Cm6|D7|G7|G%7|C7|Fm6|Fm6|Cm6|D7|D7|G7|Cm6|Cm6|D7|G7|C7|C7|Fm6|Fm6|Fm6|D%7|Cm6|A7|D%7|G7|Cm6|Cm6|	Cm6, Cm6, D7, Db7, Cm6, Cm6, D7, G7, G%7, C7, Fm6, Fm6, Cm6, D7, D7, G7, Cm6, Cm6, D7, G7, C7, C7, Fm6, Fm6, Fm6, D%7, Cm6, A7, D%7, G7, Cm6, Cm6
Monk, Thelonious	Light Blue	C	180	Jazz-Medium Swing	TRUE	TRUE		3	|F^7&F^7&G7&C7|F^7&F^7&F7&Bb7|C^7|D7 G7|F^7&F^7&F7&Gb7|F^7&F^7&F#m7&Fm7|C^7|D7&D7&G7&Db^7|	F^7, F^7, G7, C7, F^7, F^7, F7, Bb7, C^7, D7, G7, F^7, F^7, F7, Gb7, F^7, F^7, F#m7, Fm7, C^7, D7, D7, G7, Db^7
Menescal, Roberto	Little Boat (O Barquinho)	B-	140	Roberto Menescal	TRUE	TRUE		-1	|Bb^7|Bb^7|Em7 A7|Em7 A7|Ab^7|Ab^7|Dm7 G7|Dm7 G7|Gb^7|Gb^7|Cm7 F7|Cm7 F7|Dm7|G7|Cm7|F7|	Bb^7, Bb^7, Em7, A7, Em7, A7, Ab^7, Ab^7, Dm7, G7, Dm7, G7, Gb^7, Gb^7, Cm7, F7, Cm7, F7, Dm7, G7, Cm7, F7
Kern, Jerome	Look For The Silver Lining	B-	100	Jazz-Medium Swing	TRUE	TRUE		1	|Bb^7|F7|Bb^7|F7|Dm7|Cm7 F7|Bb^7|Gm7|Cm7|F7|Bb^7|Bb^7|Gm7|F#7|F7|Cm7 F7|Bb^7|F7|Bb^7|F7|Fm7|Bb7|Eb^7|Eb7|Gm7|Em7 A7|Dm7|G7|Cm7|F7|Bb^7|F7|	Bb^7, F7, Bb^7, F7, Dm7, Cm7, F7, Bb^7, Gm7, Cm7, F7, Bb^7, Bb^7, Gm7, F#7, F7, Cm7, F7, Bb^7, F7, Bb^7, F7, Fm7, Bb7, Eb^7, Eb7, Gm7, Em7, A7, Dm7, G7, Cm7, F7, Bb^7, F7
Weill, Kurt	Mac The Knife	B-	100	Jazz-Medium Swing	TRUE	TRUE		0	|Bb6|Bb6|Cm7|Cm7|F7|F7|Bb6|Bb6|Gm7|Gm7|Cm7|Cm7|Cm7|Cm7 F7|Bb6|Bb6|	Bb6, Bb6, Cm7, Cm7, F7, F7, Bb6, Bb6, Gm7, Gm7, Cm7, Cm7, Cm7, Cm7, F7, Bb6, Bb6
Brown, Clifford	Minor Mood	f	100	Jazz-Medium Swing	TRUE	TRUE		0	|Fm7|Bbm6 C7|Fm7|Bb7|Bbm7|Bbm7 Eb7|G%7 C7|Fm7|Fm7 Db7|Db7 C7|Fm^7|C7|Fm7|G%7 C7|Fm7|C%7 F7|Bbm7|Bbm7 C7|C7 G%7|Ab^7|G%7|C7|Fm^7|Fm^7|	Fm7, Bbm6, C7, Fm7, Bb7, Bbm7, Bbm7, Eb7, G%7, C7, Fm7, Fm7, Db7, Db7, C7, Fm^7, C7, Fm7, G%7, C7, Fm7, C%7, F7, Bbm7, Bbm7, C7, C7, G%7, Ab^7, G%7, C7, Fm^7, Fm^7
Timmons, Bobby	Minor Strain	G	110	Latin-Cuba: Cha Cha Cha	TRUE	TRUE		4	|Dm7|Dm7|Dm7|Dm7|Cm7|Cm7|Cm7|Cm7|Gm7|Gm7|Bbm7|Eb7|Am7|Dm7|G^ Am7|Bbo7 Bm7|	Dm7, Dm7, Dm7, Dm7, Cm7, Cm7, Cm7, Cm7, Gm7, Gm7, Bbm7, Eb7, Am7, Dm7, G^, Am7, Bbo7, Bm7
Best, Denzil	Move	B-	240	Jazz-Up Tempo Swing	TRUE	TRUE		0	|Bb6|Eb7|Bb6|Bo7|Cm7|F7|Bb6|Bb6|Bb6|Eb7|Bb6|Bo7|Cm7|F7|Bb6|Bb6|Fm7|Bb7|Eb6|Eb6|C7|C7|Cm7|F7|Bb6|Eb7|Bb6|Bo7|Cm7|F7|Bb6|Bb6|	Bb6, Eb7, Bb6, Bo7, Cm7, F7, Bb6, Bb6, Bb6, Eb7, Bb6, Bo7, Cm7, F7, Bb6, Bb6, Fm7, Bb7, Eb6, Eb6, C7, C7, Cm7, F7, Bb6, Eb7, Bb6, Bo7, Cm7, F7, Bb6, Bb6
Coltrane, John	Mr. P.C.	c	240	Jazz-up Tempo Swing	TRUE	TRUE	G7b13	0	|Cm7|Cm7|Cm7|Cm7|Fm7|Fm7|Cm7|Cm7|Ab7|G7|Cm7|Cm7|	Cm7, Cm7, Cm7, Cm7, Fm7, Fm7, Cm7, Cm7, Ab7, G7, Cm7, Cm7
Whiting, Richard	My Ideal	E-	80	Jazz-Gypsy Jazz	TRUE	TRUE		0	|Eb6 C7|Fm7|Db7 C7|F7|Fm7 Bb7|D%7 G7|Cm7 F7|B7 Bb7|Eb6 C7|Fm7|Db7 C7|F7|Fm7 Abm6|Eb^&Ab7&Gm7&C7|B7 Bb7|Eb6|	Eb6, C7, Fm7, Db7, C7, F7, Fm7, Bb7, D%7, G7, Cm7, F7, B7, Bb7, Eb6, C7, Fm7, Db7, C7, F7, Fm7, Abm6, Eb^, Ab7, Gm7, C7, B7, Bb7, Eb6
Burnett, Ernie & Norton, George	My Melancholy Baby	B-	100	Jazz-Medium Swing	TRUE	TRUE		3	|Bb^7|Bb^7|Ab7|G7|Cm7|G7|Cm7|G7|Cm7|Cm7|F7|Gbo7|Gm7|C7|Cm7|F7|Bb^7|Bb^7|Ab7|G7|Cm7|G7|Cm7|Fm7 Bb7|Eb^7|Eo7|Bb7|G7|Cm7|F7|Bb6 Bo7|Cm7 F7|	Bb^7, Bb^7, Ab7, G7, Cm7, G7, Cm7, G7, Cm7, Cm7, F7, Gbo7, Gm7, C7, Cm7, F7, Bb^7, Bb^7, Ab7, G7, Cm7, G7, Cm7, Fm7, Bb7, Eb^7, Eo7, Bb7, G7, Cm7, F7, Bb6, Bo7, Cm7, F7
Shorter, Wayne	Night Dreamer	G	100	Jazz-Medium Swing	TRUE	TRUE		3	|G^7 Fm7|Eb^7 D7|G^7 Fm7|Eb^7 D7|G^7 Fm7|Eb^7 D7|Ebm7|Ab7|Esus|Esus|Fsus|Fsus|G^7 Fm7|Eb^7 D7|G^7 Fm7|Eb^7 D7|	G^7, Fm7, Eb^7, D7, G^7, Fm7, Eb^7, D7, G^7, Fm7, Eb^7, D7, Ebm7, Ab7, Esus, Esus, Fsus, Fsus, G^7, Fm7, Eb^7, D7, G^7, Fm7, Eb^7, D7
Grolnick, Don	Nothing Personal	g	240	Jazz-Up Tempo Swing	TRUE	TRUE		0	|Gm|Gm|Gm|Gm|Gm|Gm|Gm|Gm|Gm|Gm|Gm|Gm|Gm|Gm|Gm|Gm|C7|C7|C7|C7|Gm|Gm|Gm|F7 E7|Eb7|Eb7|D7|D7|Gm|Gm|Gm|Gm|	Gm, Gm, Gm, Gm, Gm, Gm, Gm, Gm, Gm, Gm, Gm, Gm, Gm, Gm, Gm, Gm, C7, C7, C7, C7, Gm, Gm, Gm, F7, E7, Eb7, Eb7, D7, D7, Gm, Gm, Gm, Gm
Reinhardt, Django	Nuages	G	80	Jazz-Slow Swing	TRUE	TRUE		0	|Bbm6|D7|G6|G6|Bbm6|D7|G6 D7|G6|B7|B7|Em6|Em6|A7 Ab7|A7|D7|D7|Bbm6|D7|G6|G6|Ab7|G7|C^|C^|Cm6|F7|G6|G6|Bbm6|D7|G6 D7|G6|	Bbm6, D7, G6, G6, Bbm6, D7, G6, D7, G6, B7, B7, Em6, Em6, A7, Ab7, A7, D7, D7, Bbm6, D7, G6, G6, Ab7, G7, C^, C^, Cm6, F7, G6, G6, Bbm6, D7, G6, D7, G6
Jobim, Antonio Carlos	O Grande Amor	a	140	Jazz-Bossa Nova	TRUE	TRUE		1	|Am|Abo7|Gm7|C7|B%7|E7|Am|A7|Dm7|G7|C^7|F^7|Bb^7|Bb^7|B%7|E7|Am|Abo7|Gm7|C7|B%7|E7|E%7|A7|Dm7|Ebo7|C^|F^7|Bb^7|B%7 E7|Am|E7|	Am, Abo7, Gm7, C7, B%7, E7, Am, A7, Dm7, G7, C^7, F^7, Bb^7, Bb^7, B%7, E7, Am, Abo7, Gm7, C7, B%7, E7, E%7, A7, Dm7, Ebo7, C^, F^7, Bb^7, B%7, E7, Am, E7
Lewis, Curtis & Adderley, Cannonball	Old Country, The	d	100	Jezz-Medium Swing	TRUE	TRUE		0	|Dm|E%7|A7|Dm|Dm D7|Gm7|Csus C7|F^7|F^7|E%7|A7|Dm Dm|B7|Bb7|E%7 A7|Dm|	Dm, E%7, A7, Dm, Dm, D7, Gm7, Csus, C7, F^7, F^7, E%7, A7, Dm, Dm, B7, Bb7, E%7, A7, Dm
Grofe, Ferde	On The Trail	F	160	Jazz-Medium Up Swing	TRUE	TRUE		2	|F^7|F^7|F^7|F^7|F^7|Am7 D7|Gm7|C7|Abm7|Db7|Abm7|Db7|Gm7|C7|F6|Gm7 C7|	F^7, F^7, F^7, F^7, F^7, Am7, D7, Gm7, C7, Abm7, Db7, Abm7, Db7, Gm7, C7, F6, Gm7, C7
Black, Johnny	Paper Doll	F	100	Jazz-Medium Swing	TRUE	TRUE		0	|F^7 D7|G7|C7|F6|F^7 Fm^7|C^7 A7|G7|C7|Gm7 C7|F6|Gm7 C7|A7|Bb^ Bo7|F^&A7&D7|Gm7 C7|F6|	F^7, D7, G7, C7, F6, F^7, Fm^7, C^7, A7, G7, C7, Gm7, C7, F6, Gm7, C7, A7, Bb^, Bo7, F^, A7, D7, Gm7, C7, F6
Silver, Horace	Peace	B-	60	Jazz-Ballad Swing	TRUE	TRUE		0	|A%7 D7|Gm7 C7|B^7 C%7&F7|Bb^7|Bm7 E7|A^7 F#m7|Eb%7 Ab7|Db^7|C7 B7|Bb^7|	A%7, D7, Gm7, C7, B^7, C%7, F7, Bb^7, Bm7, E7, A^7, F#m7, Eb%7, Ab7, Db^7, C7, B7, Bb^7
Rollins, Sonny	Pent Up House	G	240	Jazz-Up Tempo Swing	TRUE	TRUE		0	|Am7|D7|G^7|G^7|Am7|D7|G^7|G^7|Dm7|G7|Cm7|F7|Am7|D7|G^7|G^7|	Am7, D7, G^7, G^7, Am7, D7, G^7, G^7, Dm7, G7, Cm7, F7, Am7, D7, G^7, G^7
Henderson, Joe	Recordame	a	140	Jazz-Bossa Nova	TRUE	TRUE		-1	|Am|Am|Am|Am|Cm|Cm|Cm|Cm7 F7|Bb^7|Bbm7 Eb7|Ab^7|Abm7 Db7|Gb^7|Gm7 C7|F^7|E7|	Am, Am, Am, Am, Cm, Cm, Cm, Cm7, F7, Bb^7, Bbm7, Eb7, Ab^7, Abm7, Db7, Gb^7, Gm7, C7, F^7, E7
Hubbard, Freddie	Red Clay	c	140	Pop-Funk	TRUE	TRUE	Included Solo	-1	|Cm7|Bbm7|Dbsus Ebsus|Fsus Gsus|Cm7|Bbm7 Eb7|Ab^7|D%7 G7|	Cm7, Bbm7, Dbsus, Ebsus, Fsus, Gsus, Cm7, Bbm7, Eb7, Ab^7, D%7, G7
Berlin, Irving	Remember	A-	100	Jazz-Medium Swing	TRUE	TRUE		2	|Db7|C7|B7|Bb7|Bbm7|Eb%7|Ab^7|Ebm7 Ab7|Db7|C7|B7|Bb7|Bbm7|Eb%7|Ab^7|Ebm7 Ab7|Db^7|Db^7|Dbm7|Gb7|Ab^7|Ab^7|G%7|C7|Db7|C7|B7|Bb7|Bbm7|Eb%7|Ab^7|Ebm7 Ab7|	Db7, C7, B7, Bb7, Bbm7, Eb%7, Ab^7, Ebm7, Ab7, Db7, C7, B7, Bb7, Bbm7, Eb%7, Ab^7, Ebm7, Ab7, Db^7, Db^7, Dbm7, Gb7, Ab^7, Ab^7, G%7, C7, Db7, C7, B7, Bb7, Bbm7, Eb%7, Ab^7, Ebm7, Ab7
Hickman, Art	Rose Room	G	100	Jazz-Medium Swing	TRUE	TRUE		0	|A7|D7|G6|G6|G7|G7|C^|C^|Cm|F7|G6|E7|A7|A7|Am7|D7|A7|D7|G6|G6|G7|G7|C^|C^|Cm|F7|G6|E7|A7|D7|G6|G6|	A7, D7, G6, G6, G7, G7, C^, C^, Cm, F7, G6, E7, A7, A7, Am7, D7, A7, D7, G6, G6, G7, G7, C^, C^, Cm, F7, G6, E7, A7, D7, G6, G6
