composers	title	key	tempo	style	checked	in_progress	Notes	turnaround	marked_	chords
Kirk, Roland	Serenade To A Cuckoo	f	100	Jazz-Medium Swing	TRUE	TRUE		1	|Fm7|G%7 C7|Fm7|G%7 C7|Fm7|G%7 C7|Fm7|F7|Bbm7 Eb7|Ab^7 Db^7|G%7 C7|Fm7 F7|Bbm7 Eb7|Ab^7 Db^7|G%7 C7|Fm7|	Fm7, G%7, C7, Fm7, G%7, C7, Fm7, G%7, C7, Fm7, F7, Bbm7, Eb7, Ab^7, Db^7, G%7, C7, Fm7, F7, Bbm7, Eb7, Ab^7, Db^7, G%7, C7, Fm7
Henderson, Joe	Serenity	E-	100	Jazz-Medium Swing	TRUE	TRUE		2	|D%7|G7|Ab^7 Gb^7|Em7 A7|Fm7 Bb7|Eb^7 D%7&G7|Cm7 Cm7|Abm7 Db7|G7 Gb7|F7|E^7|Fm7 Bb7|Eb^7|D%7 G7|	D%7, G7, Ab^7, Gb^7, Em7, A7, Fm7, Bb7, Eb^7, D%7, G7, Cm7, Cm7, Abm7, Db7, G7, Gb7, F7, E^7, Fm7, Bb7, Eb^7, D%7, G7
Mandel, Johnny	Shadow Of Your Smile, The	G	140	Jazz-Bossa Nova	TRUE	TRUE		0	|F#m7|B7|Em7|A7|Am7|D7|G^7|C^7|F#%7|B7|Em7|Em7|C#%7|F#7|F#%7|B7|F#m7|B7|Em7|A7|Am7|D7|B%7|E7|Am7|Cm7 F7|Bm7|E7|A7|Dsus D7|G6|G6|	F#m7, B7, Em7, A7, Am7, D7, G^7, C^7, F#%7, B7, Em7, Em7, C#%7, F#7, F#%7, B7, F#m7, B7, Em7, A7, Am7, D7, B%7, E7, Am7, Cm7, F7, Bm7, E7, A7, Dsus, D7, G6, G6
Dabney, Ford	Shine	E-	240	Debney-Mack-Brown	TRUE	TRUE		2	|Eb^7|Eb^7|Fm7|Bb7|Eb^7|Eb^7|Fm7|Bb7|G7|G7|Cm7|Cm7|F7|F7|Bb7|Bb7|Eb^7|Eb^7|Fm7|Bb7|G7|G7|Cm7|Cm7|Ab^7|Ab^7 Db7|Eb6|C7|Fm7|Bb7|Eb6|Fm7 Bb7|	Eb^7, Eb^7, Fm7, Bb7, Eb^7, Eb^7, Fm7, Bb7, G7, G7, Cm7, Cm7, F7, F7, Bb7, Bb7, Eb^7, Eb^7, Fm7, Bb7, G7, G7, Cm7, Cm7, Ab^7, Ab^7, Db7, Eb6, C7, Fm7, Bb7, Eb6, Fm7, Bb7
Foster, Frank	Simone	d	100	Jazz-Medium Swing	TRUE	TRUE		1	|Dm7|Am7|Dm7|Eb7|Dm7|Am7|Am7|D7|Gm7|Am7|Bbm7|Eb7|Dm7|Em7|F^7|F#m7|Fm7|Bb7|Em7|A7|Dm7|Am7|Dm7|Eb7|	Dm7, Am7, Dm7, Eb7, Dm7, Am7, Am7, D7, Gm7, Am7, Bbm7, Eb7, Dm7, Em7, F^7, F#m7, Fm7, Bb7, Em7, A7, Dm7, Am7, Dm7, Eb7
Chaplin, Charles	Smile	F	60	Jazz-Ballad Swing	TRUE	TRUE		0	|F^7|F^7|F^7|F^7|F^7|Abo7|Gm7|D7|Gm7|Gm7|Bbm7|Eb7|F^7|F^7|Gm7|C7|F^7|F^7|F^7|F^7|F^7|Abo7|Gm7|D7|Gm7|Gm7|Bbm7|Eb7|F^7|F^7|Gm7|C7|F6|F6|	F^7, F^7, F^7, F^7, F^7, Abo7, Gm7, D7, Gm7, Gm7, Bbm7, Eb7, F^7, F^7, Gm7, C7, F^7, F^7, F^7, F^7, F^7, Abo7, Gm7, D7, Gm7, Gm7, Bbm7, Eb7, F^7, F^7, Gm7, C7, F6, F6
Jobim, Antonio Carlos	So Danco Samba	C	140	Jazz-Bossa Nova	TRUE	TRUE		1	|C6|F7|D7|D7|Dm7|G7|C6|F7|C6|F7|D7|D7|Dm7|G7|C6|C6|Gm7|C7|F^7|F^7|Am7|D7|G7|G7|C6|F7|D7|D7|Dm7|G7|C6|F7|	C6, F7, D7, D7, Dm7, G7, C6, F7, C6, F7, D7, D7, Dm7, G7, C6, C6, Gm7, C7, F^7, F^7, Am7, D7, G7, G7, C6, F7, D7, D7, Dm7, G7, C6, F7
Valles, Marco	So Nice (Summer Samba)	F	140	Jazz-Bossa Nova	TRUE	TRUE		2	|F^7|F^7|Bm7|E7|Bb^7|Bb6|Eb7|Eb7|Am7|D7|Gm7|E%7 A7|Dm7|G7|Gm7|Db7 C7|F^7|F^7|Bm7|E7|Bb^7|Bb6|Eb7|Eb7|Am7|D7|Gm7|C7|F^7|Bb7|F6|Gm7 C7|	F^7, F^7, Bm7, E7, Bb^7, Bb6, Eb7, Eb7, Am7, D7, Gm7, E%7, A7, Dm7, G7, Gm7, Db7, C7, F^7, F^7, Bm7, E7, Bb^7, Bb6, Eb7, Eb7, Am7, D7, Gm7, C7, F^7, Bb7, F6, Gm7, C7
Davis, Miles	Solar	c	100	Jazz-Medium Swing	TRUE	TRUE		0	|Cm^7|Cm^7|Gm7|C7|F^7|F^7|Fm7|Bb7|Eb^7|Ebm7 Ab7|Db^7|D%7 G7|	Cm^7, Cm^7, Gm7, C7, F^7, F^7, Fm7, Bb7, Eb^7, Ebm7, Ab7, Db^7, D%7, G7
Churchill, Frank	Someday My Prince Will Come	B-	100	Jazz-Medium Swing	TRUE	TRUE		-1	|Bb^7|D7|Eb^7|G7|Cm7|G7|Cm7|F7|Dm7|C#o7|Cm7|F7|Dm7|C#o7|Cm7|F7|Bb^7|D7|Eb^7|G7|Cm7|G7|Cm7|F7|Fm7|Bb7|Eb^7|Eo7|Bb^7|G7|Cm7|F7|	Bb^7, D7, Eb^7, G7, Cm7, G7, Cm7, F7, Dm7, C#o7, Cm7, F7, Dm7, C#o7, Cm7, F7, Bb^7, D7, Eb^7, G7, Cm7, G7, Cm7, F7, Fm7, Bb7, Eb^7, Eo7, Bb^7, G7, Cm7, F7
Silver, Horace	Song For My Father	f	180	Jazz-Latin	TRUE	TRUE		0	|Fm7|Fm7|Eb7|Eb7|Db7|Csus|Fm7|Fm7|Fm7|Fm7|Eb7|Eb7|Db7|Csus|Fm7|Fm7|Eb7|Eb7|Fm7|Fm7|Eb7 Db7|C7|Fm7|Fm7|	Fm7, Fm7, Eb7, Eb7, Db7, Csus, Fm7, Fm7, Fm7, Fm7, Eb7, Eb7, Db7, Csus, Fm7, Fm7, Eb7, Eb7, Fm7, Fm7, Eb7, Db7, C7, Fm7, Fm7
Rollins, Sonny	St. Thomas	C	180	Jazz-Latin	TRUE	TRUE		0	|C^7 F7|Em7 A7|Dm7 G7|C6|C^7 F7|Em7 A7|Dm7 G7|C6|E%7|A7|Dm7|G7|C^7 C7|F^7 F#o7|G7|C6|	C^7, F7, Em7, A7, Dm7, G7, C6, C^7, F7, Em7, A7, Dm7, G7, C6, E%7, A7, Dm7, G7, C^7, C7, F^7, F#o7, G7, C6
Young, Victor	Stella By Starlight	B-	100	Jazz-Medium Swing	TRUE	TRUE		0	|E%7|A7|Cm7|F7|Fm7|Bb7|Eb^7|Ab7|Bb^7|E%7 A7|Dm7|Bbm7 Eb7|F^7|E%7 E%7|Eb^7|D7|G7|G7|Cm7|Cm7|Ab7|Ab7|Bb^7|Bb^7|E%7|A7|D%7|G7|C%7|F7|Bb^7|Bb^7|	E%7, A7, Cm7, F7, Fm7, Bb7, Eb^7, Ab7, Bb^7, E%7, A7, Dm7, Bbm7, Eb7, F^7, E%7, E%7, Eb^7, D7, G7, G7, Cm7, Cm7, Ab7, Ab7, Bb^7, Bb^7, E%7, A7, D%7, G7, C%7, F7, Bb^7, Bb^7
Armstrong, Lillian	Struttin' With Some Barbecue	F	100	Jazz-Medium Swing	TRUE	TRUE		2	|F^7|F^7|F6|F6|F^7|F^7|D7|D7|Gm7|C7 C#o7|Dm7|Dm7|G7|G7|C7|C7|F^7|F^7|F6|F6|Cm|F7|Bb6|Bb6|Bb6|Bbm6|F^7|D7|Gm7|C7|F6 Db7|C7|	F^7, F^7, F6, F6, F^7, F^7, D7, D7, Gm7, C7, C#o7, Dm7, Dm7, G7, G7, C7, C7, F^7, F^7, F6, F6, Cm, F7, Bb6, Bb6, Bb6, Bbm6, F^7, D7, Gm7, C7, F6, Db7, C7
Konitz, Lee	Subconscious Lee	C	160	Jazz-Medium Swing	TRUE	TRUE		0	|G%7|C7|Fm7|Fm7|D%7|G7|C^7|C^7|G%7|C7|Fm7|Fm7|D%7|G7|C^7|C^7|Cm7|F7|Bb^7|Bb^7|Ab7|Ab7|G7|G7|G%7|C7|Fm7|Fm7|D%7|G7|C^7|C^7|	G%7, C7, Fm7, Fm7, D%7, G7, C^7, C^7, G%7, C7, Fm7, Fm7, D%7, G7, C^7, C^7, Cm7, F7, Bb^7, Bb^7, Ab7, Ab7, G7, G7, G%7, C7, Fm7, Fm7, D%7, G7, C^7, C^7
Turrentine, Stanley	Sugar	c	100	Jazz-Medium Swing	TRUE	TRUE		1	|Cm7|D%7 G7|Cm7|G7|Cm7|Cm7|Gsus|G7|Cm7|Gb7|Fm7|Eb7|D%7|G7|Cm7|Db^7|	Cm7, D%7, G7, Cm7, G7, Cm7, Cm7, Gsus, G7, Cm7, Gb7, Fm7, Eb7, D%7, G7, Cm7, Db^7
Gershwin, George	Summertime	a	100	Jazz-Slow Swing	TRUE	TRUE		2	|Am7|Am7 E7|Am7|Am7 A7|Dm7|F7|B7|E7|Am7|Am7 E7|Am7|D7 G7|C^7 Am7|B%7 E7|Am7|B%7 E7|	Am7, Am7, E7, Am7, Am7, A7, Dm7, F7, B7, E7, Am7, Am7, E7, Am7, D7, G7, C^7, Am7, B%7, E7, Am7, B%7, E7
Hebb, Bobby	Sunny	a	115	Pop-RnB	TRUE	TRUE		1	|Am7|C7|F^7|B%7 E7|Am7|C7|F^7|B%7 E7|Am7|C7|F^7|Bb7|B%7|E7|Am7|E7|	Am7, C7, F^7, B%7, E7, Am7, C7, F^7, B%7, E7, Am7, C7, F^7, Bb7, B%7, E7, Am7, E7
Lloyd, Charles	Sweet Georgia Bright	C	160	Jazz-Medium Up Swing	TRUE	TRUE		NT	|C7|C7|Bb7|Bb7|C7|C7|Bb7|Bb7|Eb7|Eb7|Eb7|Eb7|D7|Db7|C7|C7|	C7, C7, Bb7, Bb7, C7, C7, Bb7, Bb7, Eb7, Eb7, Eb7, Eb7, D7, Db7, C7, C7
Strayhorn, Billy	Take The A Train	C	160	Jazz-Medium Up Swing	TRUE	TRUE		NT	|C6|C6|D7|D7|Dm7|G7|C6|Dm7 G7|C6|C6|D7|D7|Dm7|G7|C6|Gm7 C7|F^7|F^7|F^7|F^7|D7|D7|Dm7|G7 G7|C6|C6|D7|D7|Dm7|G7|C6|Dm7 G7|	C6, C6, D7, D7, Dm7, G7, C6, Dm7, G7, C6, C6, D7, D7, Dm7, G7, C6, Gm7, C7, F^7, F^7, F^7, F^7, D7, D7, Dm7, G7, G7, C6, C6, D7, D7, Dm7, G7, C6, Dm7, G7
Pinkard, Maceo & Tauber, Doris & Tracey, William	Them There Eyes	A-	240	Jazz-Up Tempo Swing	TRUE	TRUE		1	|Ab^7|Ab^7|Ab^7|Ab^7|Ab6|F7|Bb7|Bb7|Bbm7|Eb7|C7|Fm7|Bb7|Bb7|Eb7|Eb7|Ab^7|Ab^7|Ab^7|Ab^7|Ab7|Ab7|Db^7|Db^7|Db^7|Do7|Ab^7|Bb7 Eb7|Ab^7|F7|Bb7 Eb7|Ab6 Eb7|	Ab^7, Ab^7, Ab^7, Ab^7, Ab6, F7, Bb7, Bb7, Bbm7, Eb7, C7, Fm7, Bb7, Bb7, Eb7, Eb7, Ab^7, Ab^7, Ab^7, Ab^7, Ab7, Ab7, Db^7, Db^7, Db^7, Do7, Ab^7, Bb7, Eb7, Ab^7, F7, Bb7, Eb7, Ab6, Eb7
Rodgers, Richard	This Can't Be Love	F	100	Jazz-Medium Swing	TRUE	TRUE		0	|F^7|F^7|Bb7|Bb7|F^7|Dm7|Gm7|C7|F^7|F^7|Bb7|Bb7|Am7 Dm7|Gm7 C7|F6|F6|Em7|A7|Dm7|Dm7|A%7|D7|Gm7|C7|F^7|F^7|Bb7|Bb7|Am7 Dm7|Gm7 C7|F6|F6|	F^7, F^7, Bb7, Bb7, F^7, Dm7, Gm7, C7, F^7, F^7, Bb7, Bb7, Am7, Dm7, Gm7, C7, F6, F6, Em7, A7, Dm7, Dm7, A%7, D7, Gm7, C7, F^7, F^7, Bb7, Bb7, Am7, Dm7, Gm7, C7, F6, F6
Youmans, Vincent	Time On My Hands	F	60	Jazz-Ballad Swing	TRUE	TRUE		3	|F^7|F^7|B%7|E7|Gm7|Gm7|C7|C7|F^7|F^7|B%7|E7|Gm7|Gm7|E%7|A7|D7|D7|G7|Gm7 C7|Dm7|G7|Gm7|C7|F^7|Bb7|A7|D7|G7|C7|F6 D7|Gm7 C7|	F^7, F^7, B%7, E7, Gm7, Gm7, C7, C7, F^7, F^7, B%7, E7, Gm7, Gm7, E%7, A7, D7, D7, G7, Gm7, C7, Dm7, G7, Gm7, C7, F^7, Bb7, A7, D7, G7, C7, F6, D7, Gm7, C7
Davis, Miles	Tune Up	D	240	Jazz-Up Tempo Swing	TRUE	TRUE		0	|Em7|A7|D^7|D^7|Dm7|G7|C^7|C^7|Cm7|F7|Bb^7|Gm7|Em7|F7|Bb^7|A7|Em7|A7|D^7|D^7|Dm7|G7|C^7|C^7|Cm7|F7|Bb^7|Gm7|Em7|A7|D^7|D^7|	Em7, A7, D^7, D^7, Dm7, G7, C^7, C^7, Cm7, F7, Bb^7, Gm7, Em7, F7, Bb^7, A7, Em7, A7, D^7, D^7, Dm7, G7, C^7, C^7, Cm7, F7, Bb^7, Gm7, Em7, A7, D^7, D^7
Shorter, Wayne	United	F	100	Jazz-Medium Swing	TRUE	TRUE		0	|E%7|A7|Dm|Dm|E%7|A7|Dm|Dm|Cm7|F7|Bb^7|Abm7 Db7|Gb^7|Gm7 C7|F^7|F^7|	E%7, A7, Dm, Dm, E%7, A7, Dm, Dm, Cm7, F7, Bb^7, Abm7, Db7, Gb^7, Gm7, C7, F^7, F^7
Rollins, Sonny	Valse Hot	A-	100	Jazz-Medium Swing	TRUE	TRUE		1	|Ab^7|Db^7|Cm7|F7|Bbm7|Eb7|Ab^7|F7|Bbm7|Dbm7|Cm7|F7|Bbm7|Eb7|Ab^7|Eb7|	Ab^7, Db^7, Cm7, F7, Bbm7, Eb7, Ab^7, F7, Bbm7, Dbm7, Cm7, F7, Bbm7, Eb7, Ab^7, Eb7
Garrett, Kenny	Wayne's Thang	e	140	Jazz-Up Tempo Swing	TRUE	TRUE		0	|Em7|Em7|C6|C6|B7|B7|Em7|Em7|Em7|Em7|C6|C6|B7|B7|Em7|Em7|	Em7, Em7, C6, C6, B7, B7, Em7, Em7, Em7, Em7, C6, C6, B7, B7, Em7, Em7
Evans, Bill	We Will Meet Again	c	100	Jazz-Medium Swing	TRUE	TRUE	edited	-1	|Cm6|Cm6|Fm7|Fm7|D%7|G7|Cm6|Cm6|Ab^7|G7|Cm6|Cm6|A%7|D7|Gsus|G7|	Cm6, Cm6, Fm7, Fm7, D%7, G7, Cm6, Cm6, Ab^7, G7, Cm6, Cm6, A%7, D7, Gsus, G7
Young, Victor	Weaver Of Dreams, A	C	100	Jazz-Medium Swing	TRUE	TRUE		2	|C^7|C^7|B%7|E7|Am7|Am7|Gm7|C7|F^7|Bb7|Em7|A7|D7|D7|Dm7|G7|C^7|C^7|B%7|E7|Am7|Am7|Gm7|C7|F^7|Bb7|Em7|Ebm7 Ab7|Dm7|G7|C^7|Dm7 G7|	C^7, C^7, B%7, E7, Am7, Am7, Gm7, C7, F^7, Bb7, Em7, A7, D7, D7, Dm7, G7, C^7, C^7, B%7, E7, Am7, Am7, Gm7, C7, F^7, Bb7, Em7, Ebm7, Ab7, Dm7, G7, C^7, Dm7, G7
Porter, Cole	What Is This Thing Called Love	C	240	Jazz-Up Tempo Swing	TRUE	TRUE		0	|G%7|C7|Fm6|Fm6|D%7|G7|C^7|C^7|G%7|C7|Fm6|Fm6|D%7|G7|C^7|C^7|Cm7|F7|Bb^7|Bb^7|Ab7|Ab7|D%7|G7|G%7|C7|Fm6|Fm6|D%7|G7|C^7|C^7|	G%7, C7, Fm6, Fm6, D%7, G7, C^7, C^7, G%7, C7, Fm6, Fm6, D%7, G7, C^7, C^7, Cm7, F7, Bb^7, Bb^7, Ab7, Ab7, D%7, G7, G%7, C7, Fm6, Fm6, D%7, G7, C^7, C^7
Traditional	When The Saints Go Marching In	F	100	Jazz-Medium Swing	TRUE	TRUE		1	|F^|F^|F^|F^|F^|F^|C7|C7|F^|F7|Bb^|Bbm|F^|G7 C7|F^|C7|	F^, F^, F^, F^, F^, F^, C7, C7, F^, F7, Bb^, Bbm, F^, G7, C7, F^, C7
Shay, Larry & Fisher, Marc & Goodwin, Joe	When You're Smilin'	C	140	Jazz-Medium Swing	TRUE	TRUE		0	|C6|C6|C6|C6|Em7|A7|Dm7|G7|Dm7|Dm7|Dm7|Dm7|G7|G7|C6|C6|C7|C7|F6|F6|Am7|D7|Dm7|G7|C6|C6|Em7|A7|Dm7|G7|C6|C6|	C6, C6, C6, C6, Em7, A7, Dm7, G7, Dm7, Dm7, Dm7, Dm7, G7, G7, C6, C6, C7, C7, F6, F6, Am7, D7, Dm7, G7, C6, C6, Em7, A7, Dm7, G7, C6, C6
Kern, Jerome	Why Do I Love You?	A-	100	Jazz-Medium Swing	TRUE	TRUE		2	|Ab^7|Fm7|Bbm7|Eb7|Ab^7|F7|Bbm7|Eb7|Cm7|Fm7|Bbm7|G%7 C7|Fm7|Bb7|Bbm7|Eb7|Ab^7|Fm7|Bbm7|Eb7|Ab^7|F7|Bbm7|Eb7|Ebm7|Ab7|Db^7|Gb7|Ab^7|Bbm7 Eb7|Ab6|Bbm7 Eb7|	Ab^7, Fm7, Bbm7, Eb7, Ab^7, F7, Bbm7, Eb7, Cm7, Fm7, Bbm7, G%7, C7, Fm7, Bb7, Bbm7, Eb7, Ab^7, Fm7, Bbm7, Eb7, Ab^7, F7, Bbm7, Eb7, Ebm7, Ab7, Db^7, Gb7, Ab^7, Bbm7, Eb7, Ab6, Bbm7, Eb7
McCoy, Kansas Joe	Why Don't You Do Right?	d	100	Jazz-Medium Swing	TRUE	TRUE		3	|Dm7 B%7|Bb7 A7|Dm7 B%7|Bb7 A7|Gm7|Gm7 A7|Dm7 B%7|Bb7 A7|Bb7 A7|Bb7 A7|Dm7 B%7|Bb7 A7|	Dm7, B%7, Bb7, A7, Dm7, B%7, Bb7, A7, Gm7, Gm7, A7, Dm7, B%7, Bb7, A7, Bb7, A7, Bb7, A7, Dm7, B%7, Bb7, A7
Shorter, Wayne	Witch Hunt	c	80	Jazz.Slow Swing	TRUE	TRUE		-1	|Cm7|Cm7|Cm7|Cm7|Cm7|Cm7|Cm7|Cm7|Eb7|Eb7|Eb7|Eb7|Cm7|Cm7|Cm7|Cm7|Gb^7|F7|E^7 Eb7|Eb7|Abm7|A^|Abm7|G7|	Cm7, Cm7, Cm7, Cm7, Cm7, Cm7, Cm7, Cm7, Eb7, Eb7, Eb7, Eb7, Cm7, Cm7, Cm7, Cm7, Gb^7, F7, E^7, Eb7, Eb7, Abm7, A^, Abm7, G7
Adderley, Nat	Work Song	f	160	Jazz-Medium Up Swing	TRUE	TRUE		0	|Fm|Fm|Fm|Fm|Fm|Fm|C7|C7|Fm|Fm|Fm|Fm|F7|Bb7|G7 C7|Fm|	Fm, Fm, Fm, Fm, Fm, Fm, C7, C7, Fm, Fm, Fm, Fm, F7, Bb7, G7, C7, Fm
Kern, Jerome	Yesterdays	d	160	Jazz-Medium Up Swing	TRUE	TRUE		-1	|Dm|E%7 A7|Dm|E%7 A7|Dm Dm^7|Dm7|B%7|E7|A7|D7|G7|C7|F7|Bb^7|E%7|A7|	Dm, E%7, A7, Dm, E%7, A7, Dm, Dm^7, Dm7, B%7, E7, A7, D7, G7, C7, F7, Bb^7, E%7, A7
Nacio Herb Brown	You Stepped Out Of A Dream	C	100	Jazz-Medium Swing	TRUE	TRUE		3	|C^7|C^7|Db^7|Db^7|Bbm7|Eb7|Ab^7|Ab^7|Gm7|C7|F^7|F^7|Am7|D7|Ebm7 Ab7|Dm7 G7|C^7|C^7|Db^7|Db^7|Bbm7|Eb7|Gb7|F7|D%7|G7|Em7|A7|Dm7|G7|C^7 A7|Dm7 G7|	C^7, C^7, Db^7, Db^7, Bbm7, Eb7, Ab^7, Ab^7, Gm7, C7, F^7, F^7, Am7, D7, Ebm7, Ab7, Dm7, G7, C^7, C^7, Db^7, Db^7, Bbm7, Eb7, Gb7, F7, D%7, G7, Em7, A7, Dm7, G7, C^7, A7, Dm7, G7
Jobim, Antonio Carlos	Zingaro (Retrato Em Branco E Preto)	g	140	Jazz-Bossa Nova	TRUE	TRUE		1	|Gm7|Gm7|D7|D7|Fm6|Fm6 E^7|Eb^7|Eb^7|Cm7|D7|Bb^7|Bb^7|A7|A7|D^7|Ab7|Gm7|Gm7|D7|D7|Fm6|Fm6 E^7|Eb^7|Eb^7|Cm7|C#o7|Gm|Eb^7|Cm7|Ebm7 D7|Gm7|Ebm7|	Gm7, Gm7, D7, D7, Fm6, Fm6, E^7, Eb^7, Eb^7, Cm7, D7, Bb^7, Bb^7, A7, A7, D^7, Ab7, Gm7, Gm7, D7, D7, Fm6, Fm6, E^7, Eb^7, Eb^7, Cm7, C#o7, Gm, Eb^7, Cm7, Ebm7, D7, Gm7, Ebm7